"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia","11613","11977",11203,12253,12135,11378,10889,10317,8629,8219,6690,5428,5587,5133,6418
"Zagrebačka","Zagreb","927","848",828,888,948,872,947,1056,766,706,598,451,448,354,403
"Krapinsko-zagorska","Krapina-Zagorje","369","365",292,341,304,334,363,333,230,196,175,156,153,154,206
"Sisačko-moslavačka","Sisak-Moslavina","289","387",326,280,260,315,380,438,314,293,237,278,106,101,149
"Karlovačka","Karlovac","257","259",323,343,344,322,302,332,242,186,187,151,214,204,181
"Varaždinska","Varaždin","522","479",420,411,397,397,601,458,382,339,255,207,258,262,351
"Koprivničko-križevačka","Koprivnica-Križevci","445","419",424,494,494,427,287,249,211,179,154,137,136,143,190
"Bjelovarsko-bilogorska","Bjelovar-Bilogora","504","430",335,402,358,360,411,366,270,327,258,212,186,159,228
"Primorsko-goranska","Primorje-Gorski kotar","1141","1379",1406,1303,1165,1259,1158,1071,848,856,661,503,499,574,518
"Ličko-senjska","Lika-Senj","156","187",322,263,242,279,322,276,202,210,176,169,192,156,204
"Virovitičko-podravska","Virovitica-Podravina","213","236",236,272,304,237,243,238,227,219,134,103,154,143,119
"Požeško-slavonska","Požega-Slavonia","211","210",180,200,212,175,132,171,135,165,103,80,68,88,55
"Brodsko-posavska","Slavonski Brod-Posavina","387","461",482,593,535,537,584,428,336,321,233,158,267,166,183
"Zadarska","Zadar","588","583",439,600,231,226,392,621,678,670,574,418,476,450,640
"Osječko-baranjska","Osijek-Baranja","817","877",858,1088,1170,857,667,630,481,499,459,296,305,221,355
"Šibensko-kninska","Šibenik-Knin","168","231",365,401,308,268,118,176,266,230,274,215,185,173,239
"Vukovarsko-srijemska","Vukovar-Sirmium","390","427",388,531,493,400,449,452,328,463,270,166,174,158,203
"Splitsko-dalmatinska","Split-Dalmatia","803","880",811,759,704,723,725,578,566,525,387,403,420,386,473
"Istarska","Istria","959","1118",967,805,1019,784,734,1009,868,759,660,564,522,456,697
"Dubrovačko-neretvanska","Dubrovnik-Neretva","325","395",399,400,367,443,253,282,282,255,241,158,180,177,246
"Međimurska","Međimurje","480","425",304,399,436,382,479,396,271,267,242,263,259,211,293
"Grad Zagreb","City of Zagreb","1662","1381",1098,1480,1844,1781,1342,757,726,554,412,340,385,397,485
"Neraspoređeno","Unclassified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
